Sample Name,Sample Number,Length,Tt.Ar,Ma.Ar,Ct.Mask,Ct.Ar_Tt.Ar,Ct.Ar,Ps.Pm,Ec.Pm,Po.Ar,Ct.Po,Ct.Th,J,Imax,Imin,Zmax,Zmin,Dmax,Dmin,App.D,Tiss.D,exp_name,gene_symbol,Le,Apparent Density,Tissue Density,Unnamed: 1
ADORA2B_E01_M_total mean,,14.50428571,1.691651429,1.036825714,0.654825714,38.52486163,0.651627143,4.460571429,3.608732634,0.003198571,0.487142857,0.1489,0.302315714,0.202615714,0.099702857,0.214122857,0.16361,1.890903921,1.218914789,1108.023086,1187.568729,Adora2b_E01_CF.xlsx,Adora2b,,,,
AHRR_E01_M_total mean,,14.8625,1.90492125,1.13804125,0.76688,40.17000954,0.76409625,4.897875,3.773601575,0.00278375,0.36325,0.167025,0.39748625,0.26296875,0.13451625,0.2611525,0.20340125,1.993930784,1.310054321,1103.4033,1165.735363,Ahrr_E01_CF.xlsx,Ahrr,,,,
Akap11_E01_M_total mean,,,1.81926125,1.06819875,0.7510625,41.06606936,0.74844625,4.76825,3.660757722,0.00261625,0.344875,0.1681625,0.37756625,0.25875625,0.11880875,0.2626775,0.18924125,1.958051408,1.249616119,1143.56785,1205.578675,Akap11_E01_CF.xlsx,Akap11,14.78,,,
Akr1b8_E01_M_total mean,,,1.53070625,0.88077125,0.649935,42.20707921,0.648075,4.077625,3.323695667,0.00186,0.287125,0.1594625,0.26862625,0.17786375,0.0907625,0.2009275,0.15159875,1.747929689,1.194300078,1152.580625,1221.307575,Akr1b8_E01_CF.xlsx,Akr1b8,14.256,,,
Akr1d1_E01_M_total mean,,,1.6994675,0.9701925,0.729275,42.77379622,0.72650125,4.538125,3.489957445,0.00277375,0.377,0.1701875,0.33288625,0.22464625,0.10824125,0.2358725,0.17740375,1.901670165,1.21811087,1147.578325,1211.390038,Akr1d1_E01_CF.xlsx,Akr1d1,14.83,,,
Al464131_E01_M_total mean,,,1.737912857,1.002707143,0.735205714,42.20298635,0.73332,4.609571429,3.548452376,0.001885714,0.257142857,0.167871429,0.34855,0.239121429,0.109428571,0.248772857,0.180531429,1.918747972,1.211436433,1155.516129,1217.686057,Al464131_E01_CF.xlsx,Al464131,14.77028571,,,
ARHGEF10_E01_M_total mean,,14.44625,1.69074875,1.0209725,0.66977625,39.49865623,0.668075,4.431125,3.578834705,0.00170125,0.250125,0.1537,0.31151,0.20821625,0.10329625,0.2188275,0.168075,1.892385644,1.223903616,1166.630463,1240.655538,Arhgef10_E01_CF.xlsx,Arhgef10,,,,
Arrb1_E01_M_total mean,,13.99125,1.49114875,0.90144375,0.589705,39.35095583,0.58798875,3.993625,3.363502323,0.00171625,0.287,0.1432875,0.241705,0.16067875,0.08103,0.18207125,0.1389375,1.749964895,1.165592793,,,Arrb1_E01_CF.xlsx,Arrb1,,1142.889225,1216.922963,
ARSK_E01_M_total mean,,14.6,1.801638571,1.089314286,0.712324286,39.44949814,0.71012,4.790571429,3.697881229,0.002204286,0.308714286,0.159728571,0.353124286,0.24021,0.112914286,0.242242857,0.179545714,1.979830241,1.25596883,1117.156014,1187.399986,Arsk_E01_CF.xlsx,Arsk,,,,
BC030499_E01_E01_M_total mean,,,1.76547125,1.01985,0.74562125,42.17696918,0.74353625,4.606875,3.575121207,0.002085,0.282375,0.1699,0.3550775,0.23771625,0.1173625,0.2461375,0.1852375,1.925488802,1.258330114,1146.8128,1209.041113,BC030499_E01_CF.xlsx,BC030499,14.78,,,
Bex4_E01_M_total mean,,,2.037545,1.23416875,0.80337625,39.32155326,0.800565,5.27625,3.930364118,0.00281125,0.343,0.1670375,0.45291375,0.30265125,0.1502625,0.2895875,0.22228125,2.064644193,1.340353985,1154.19875,1219.376275,Bex4_E01_CF.xlsx,Bex4,15.398,,,
Bex6_E01_M_total mean,,,1.85619625,1.1143,0.74189625,39.82932059,0.73932625,4.77625,3.740010544,0.00257,0.3425,0.16155,0.3778325,0.25491,0.12292125,0.25471625,0.19436375,1.995959089,1.261154848,1143.193725,1206.474725,Bex6_E01_CF.xlsx,Bex6,14.782,,,
Bhlhe_E01_M_total mean,,,1.91176875,1.18892125,0.7228475,37.7707262,0.7210375,4.7615,3.857329146,0.00181,0.248125,0.1550375,0.38320625,0.25276,0.13044875,0.253895,0.1974825,1.966323398,1.314310991,1143.559113,1207.892763,Bhlhe_E01_CF.xlsx,Bhlhe,14.486,,,
