Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
Acsm2_E01_F05_CV,9241,20.39,51.7,4.5479,215.5,179.7706,206.1147,796.8534,1.4129,0.2881,1.3408,11.2647,43.1081,7.972751079,10.01484708,1.9581,Acsm2_E01_CV.xlsx,Acsm2
Acsm2_E01_F06_CV,9242,24.79,55.5,4.6665,215.3,182.8793,238.5469,821.4211,1.6814,0.4167,0.9086,14.7679,38.2959,8.783097419,11.6769985,1.8313,Acsm2_E01_CV.xlsx,Acsm2
Acsm2_E01_F07_CV,9243,22.16,53.2,4.4862,225.6,197.4278,221.8436,779.8021,1.2688,0.2812,1.1924,10.2997,40.5093,8.11767024,10.42901985,1.7729,Acsm2_E01_CV.xlsx,Acsm2
Acsm2_E01_F08_CV,9244,19.69,48.2,4.6946,216.2,202.8884,204.5836,796.6446,1.6857,0.332,1.3066,13.7597,45.9081,8.162603073,10.16451208,1.7333,Acsm2_E01_CV.xlsx,Acsm2
Adck2_E01_F01_CV,5961,16.2,47.3,4.4953,222.4,144.6775,172.1514,774.9999,1.493,0.2419,1.8338,10.2663,49.1106,6.87628935,8.205818879,1.7622,Adck2_E01_CV.xlsx,Adck2
Adck2_E01_F02_CV,5962,17.71,49.1,4.1838,239.4,188.0409,182.2429,765.9524,1.6858,0.2985,1.7224,12.3737,47.18,7.33995729,8.919267642,1.7598,Adck2_E01_CV.xlsx,Adck2
Adck2_E01_F03_CV,5963,16.55,49.9,4.0227,251.5,141.2763,175.6312,791.2161,1.9819,0.3279,1.6434,13.6079,46.49,6.866088097,8.227267231,1.8697,Adck2_E01_CV.xlsx,Adck2
Adck2_E01_F04_CV,5964,23.3,55.7,4.1784,247,215.1543,219.8949,804.1611,1.9474,0.4538,1.0058,16.5399,39.3465,8.493324433,11.07384842,1.6099,Adck2_E01_CV.xlsx,Adck2
Adck2_E01_F05_CV,5966,15.86,43.6,4.46,226.8,193.2631,172.3602,728.5092,1.2289,0.1949,1.9022,8.7054,52.5452,7.083896167,8.419148936,1.8238,Adck2_E01_CV.xlsx,Adck2
Adck2_E01_F06_CV,5967,21.62,51.9,4.3902,230.6,205.5181,212.796,775.0696,1.8709,0.4045,1.196,15.6239,42.3257,8.351007536,10.65459629,1.6986,Adck2_E01_CV.xlsx,Adck2
