Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
P3h1_E01_F07_CV,3881,2.246,0.5263,19.6094,0.2343,8.730810329474622,39.2812,170.7467,1.0442,4.3842,56.4,227.8,15.5,112.8,1.7752,174.1615,803.002,P3h1_E01.xlsx,P3h1,Female
P3h1_E01_F08_CV,3882,2.1373,0.5048,18.6596,0.2362,8.730454311514528,38.6762,150.3038,0.8292,4.4701,55.7,219.9,14.200000000000001,99.1,1.8118,177.1144,821.233,P3h1_E01.xlsx,P3h1,Female
P4hb_E01_F01_CV,3894,2.3079,0.5841,20.3326,0.2531,8.810000433294336,36.322,148.1848,0.9736,4.6183,61.199999999999996,213.2,17,97.19999999999999,1.9301,198.5551,859.492,P4hb_E01.xlsx,P4hb,Female
P4hb_E01_F02_CV,3895,2.3788,0.5955,21.091,0.2503,8.866235076509165,36.9643,150.1822,0.9328,4.3987,59.9,226.20000000000002,16.299999999999997,120.3,1.9286,190.7877,833.879,P4hb_E01.xlsx,P4hb,Female
P4hb_E01_F03_CV,3896,2.2617,0.478,18.3494,0.2114,8.11310076491135,40.5602,131.5363,1.1101,4.4039,55,225.5,14.4,101.5,1.7611,154.9676,793.565,P4hb_E01.xlsx,P4hb,Female
P4hb_E01_F04_CV,3897,2.2162,0.4786,17.2752,0.216,7.794964353397708,38.4445,124.8744,1.2452,4.3013,58.4,229.1,15.8,86.1,1.9616,167.1644,843.444,P4hb_E01.xlsx,P4hb,Female
P4hb_E01_F05_CV,3899,2.2528,0.526,19.7317,0.2335,8.758744673295453,39.511,179.1143,0.9455,4.2878,56.800000000000004,234.1,16.5,124.39999999999999,1.8236,177.9489,804.992,P4hb_E01.xlsx,P4hb,Female
P4hb_E01_F06_CV,4188,2.1265,0.4542,17.7816,0.2136,8.361909240536093,42.071,175.4073,1.26,4.4725,53.5,222.89999999999998,14.8,90.89999999999999,1.7652,165.3028,817.509,P4hb_E01.xlsx,P4hb,Female
P4hb_E01_F07_CV,3901,2.0724,0.4136,15.2457,0.1996,7.356543138390272,39.4112,119.1852,1.3172,3.8417,56.9,258.1,16.6,125.5,1.7833,152.0789,840.683,P4hb_E01.xlsx,P4hb,Female
P4hb_E01_F08_CV,3902,2.2072,0.4976,18.1074,0.2255,8.203787604204422,38.3293,129.5788,1.13,4.0577,58,242.9,15.4,119.6,1.7744,173.8405,852.944,P4hb_E01.xlsx,P4hb,Female
Pdcd6ip_E01_F01_CV,4191,2.0938,0.4166,15.6008,0.199,7.450950425064477,39.9494,107.698,1.2958,4.2443,55.800000000000004,231.8,16,95.69999999999999,1.7865,152.3999,830.669,Pdcd6ip_E01.xlsx,Pdcd6ip,Female
