Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Slain2_E01_M07_CV,1448,1.9349,0.5022,19.6886,0.2595,10.1755129464055,41.8127,222.7452,1.1238,5.7094,53.699999999999996,165.6,14.4,59.3,1.8759,206.1941,805.89,Slain2_E01.xlsx,Slain2,Male
Slain2_E01_M08_CV,1449,2.0023,0.479,19.4997,0.2392,9.738650551865355,43.6834,202.2627,1.3809,5.6312,52.8,168.9,14.4,60.400000000000006,1.8706,192.7135,802.809,Slain2_E01.xlsx,Slain2,Male
Slbp_E01_M01_CV,1947,2.1731,0.5169,20.6989,0.2379,9.525056371082785,42.8965,193.7317,1.3302,5.3723,52.2,179.60000000000002,14,70.8,1.7131,189.0544,801.268,Slbp_E01.xlsx,Slbp,Male
Slbp_E01_M02_CV,1948,2.2243,0.7223,22.1061,0.3247,9.938452546868678,31.639,148.8141,0.5346,5.2697,68.4,180.5,22.5,83.4,1.9979,256.4577,863.408,Slbp_E01.xlsx,Slbp,Male
Slbp_E01_M03_CV,1949,2.6746,0.9253,28.2547,0.346,10.564084349061542,31.2835,184.5168,0.4505,5.6782,69.2,165.5,20.9,76.30000000000001,2.0139,275.7158,860.519,Slbp_E01.xlsx,Slbp,Male
Slbp_E01_M04_CV,1950,2.2233,0.658,23.2405,0.296,10.453155219718436,36.8711,208.9247,0.8567,5.5616,60.8,167.9,18.5,72,2.0159,232.3851,869.442,Slbp_E01.xlsx,Slbp,Male
Slbp_E01_M05_CV,1952,2.4952,0.6538,24.2053,0.262,9.700745431227958,39.1536,182.5498,1.2998,5.4166,59.1,173.9,17.5,64.8,1.9062,210.4309,864.82,Slbp_E01.xlsx,Slbp,Male
Slbp_E01_M06_CV,1953,2.528,0.4641,21.3994,0.1836,8.464952531645569,50.8237,188.4924,1.7756,5.0556,47,193.20000000000002,14,74.30000000000001,1.6638,147.2644,787.017,Slbp_E01.xlsx,Slbp,Male
Slbp_E01_M07_CV,1954,2.4945,0.4954,21.6288,0.1986,8.670595309681298,47.5215,185.4078,1.6049,4.9631,49,198.5,13.6,82.8,1.7006,153.6837,809.678,Slbp_E01.xlsx,Slbp,Male
Slbp_E01_M08_CV,1955,2.1772,0.4893,21.0987,0.2248,9.690749586625023,46.5043,227.5871,1.4439,5.6666,49.9,169,13.5,61.400000000000006,1.828,179.1044,789.521,Slbp_E01.xlsx,Slbp,Male
Slmap_E01_M01_CV,2829,2.2454,0.7015,24.5913,0.3124,10.951857130132716,36.3248,229.8037,0.5781,5.7584,60.400000000000006,164.20000000000002,17.9,78.60000000000001,1.9342,237.649,854.228,Slmap_E01.xlsx,Slmap,Male
Slmap_E01_M02_CV,2830,2.0635,0.604,22.3797,0.2927,10.845505209595348,38.9446,230.6779,0.874,5.8745,56.599999999999994,157.6,15.6,60.5,1.8476,232.4493,844.407,Slmap_E01.xlsx,Slmap,Male
Slmap_E01_M03_CV,2831,2.374,0.6812,24.5817,0.2869,10.354549283909014,37.6829,202.8235,1.0423,5.7064,59.3,165.39999999999998,16.299999999999997,67.10000000000001,1.9968,225.9016,860.84,Slmap_E01.xlsx,Slmap,Male
Slmap_E01_M04_CV,2832,2.3404,0.7583,25.2369,0.324,10.783156725346094,34.2868,188.4299,0.52,5.4433,63.5,171.2,18.9,92.3,1.9467,250.0384,865.526,Slmap_E01.xlsx,Slmap,Male
Slmap_E01_M05_CV,2834,2.4647,0.6598,25.0163,0.2677,10.149835679798759,39.9978,210.8745,0.9003,5.4029,54.300000000000004,180.9,14.4,88.7,1.8077,206.7077,821.489,Slmap_E01.xlsx,Slmap,Male
Slmap_E01_M06_CV,2835,2.0881,0.4868,19.3418,0.2331,9.26287055217662,42.5171,187.2538,1.3609,5.3595,53.6,181,15.6,70.9,1.8385,184.8818,843.572,Slmap_E01.xlsx,Slmap,Male
Slmap_E01_M07_CV,2836,2.5329,0.8684,28.2514,0.3429,11.153776303841447,33.3456,212.405,0.3166,5.4432,64.9,177,19,109.7,1.9132,263.9684,866.939,Slmap_E01.xlsx,Slmap,Male
Slmap_E01_M08_CV,2837,2.2748,0.6425,24.5715,0.2825,10.801608932653421,40.0786,223.9769,0.8493,5.8136,55.1,164.1,14.6,68.1,1.9026,220.8944,841.197,Slmap_E01.xlsx,Slmap,Male
Smg6_E01_M01_CV,2303,2.4328,0.628,24.6446,0.2581,10.130138112463007,41.1575,203.4673,0.9911,5.4023,54.199999999999996,176.4,14.9,75.89999999999999,1.9629,204.2683,865.655,Smg6_E01.xlsx,Smg6,Male
Smg6_E01_M02_CV,2304,2.3711,0.5529,21.915,0.2332,9.242545653915903,42.5542,187.7839,1.4309,5.074,54.5,190.20000000000002,16.1,89.5,1.7485,184.0473,833.365,Smg6_E01.xlsx,Smg6,Male
Smg6_E01_M03_CV,2305,2.3026,0.6134,23.4442,0.2664,10.181620776513506,40.1144,209.3257,0.9525,5.4486,55.1,176.6,14.8,91.6,1.849,204.3325,841.261,Smg6_E01.xlsx,Smg6,Male
Smg6_E01_M04_CV,2306,2.2033,0.6016,22.554,0.273,10.236463486588299,39.4903,225.1156,1.0895,5.554,56.300000000000004,174.2,14.9,80.4,1.8738,218.0699,842.737,Smg6_E01.xlsx,Smg6,Male
Smg6_E01_M05_CV,2308,2.675,0.8772,28.9094,0.3279,10.807252336448599,34.024,208.2249,0.5255,5.7601,64.10000000000001,161.39999999999998,17.9,74.7,2.0809,257.549,845.498,Smg6_E01.xlsx,Smg6,Male
